23022.38,8979.24
22879.61,8914.36
22572.75,8706.77
22505.07,8627.07
22524.54,8516.79
22523.61,8462.11
22531.02,8445.42
22924.11,8170.17
23037.21,8150.71
23046.48,8045.99
23340.36,8059.89
23338.51,8178.52
23409.89,8396.31
23335.72,8657.66
23416.03,8676.94
23412.78,8727.81
23516.81,8860.85
23705.55,8955.18
23532.95,9313.10
23409.20,9428.91
23263.38,9275.94
23022.38,8979.24
11823.40,-5918.63
11240.94,-5837.27
11225.18,-5874.27
10892.90,-5774.79
10875.06,-5819.42
10636.34,-5779.26
10552.65,-6224.91
10803.73,-6269.81
10794.01,-6339.22
11045.15,-6422.81
10897.36,-6633.92
10859.44,-6609.38
10623.40,-6916.46
10784.98,-6994.87
10938.37,-7121.36
11155.68,-6805.99
11096.75,-6765.67
11220.62,-6572.30
11408.23,-6218.10
11641.22,-6245.43
11823.40,-5918.63
15519.63,15864.74
15521.09,15940.60
15772.31,15980.61
15777.93,15824.61
16093.69,15829.09
16080.44,15515.62
16009.14,15515.60
16014.27,15213.80
16307.23,15218.76
16298.35,15087.59
14814.75,15056.49
14977.28,15782.12
15519.63,15864.74
25248.99,9551.81
25130.33,9347.00
24940.29,9236.72
24587.07,9148.69
24463.82,9130.92
24891.15,8509.23
25032.99,8433.22
25293.49,8456.40
25485.40,8412.84
25550.29,8801.15
25396.41,9283.99
25296.28,9547.17
25248.99,9551.81
-238.61,8153.56
-207.35,8058.73
-231.58,8065.49
-250.11,8014.51
-228.95,8006.02
-234.27,7990.78
-210.81,7983.20
-493.69,7400.90
-520.89,7391.20
-668.90,7225.39
-730.21,7200.01
-833.84,7207.98
-1032.29,7338.39
-1066.42,7390.10
-1080.05,7517.38
-983.16,7769.05
-939.84,7831.18
-887.66,7855.12
-907.46,8041.71
-941.75,8038.44
-988.47,8050.26
-730.71,8109.61
-638.35,8167.21
-571.46,8227.72
-481.07,8280.21
-238.61,8153.56
-1573.94,-1012.15
-2309.06,-984.75
-2436.99,-1325.63
-2383.67,-1421.44
-2340.11,-1569.08
-2170.52,-1643.57
-2119.27,-1623.12
-2094.11,-1635.17
-2077.06,-1680.54
-1756.29,-1818.69
-1696.33,-1798.61
-1596.27,-1187.72
-1602.20,-1175.96
-1589.90,-1152.80
-1570.53,-1045.19
-1573.94,-1012.15
-901.35,-1024.01
-800.37,-1982.46
-306.59,-1961.72
-336.18,-1412.28
-349.71,-1412.95
-350.75,-1389.19
-337.14,-1388.65
-344.78,-1190.33
-448.00,-1193.52
-447.73,-1203.08
-456.19,-1203.34
-473.21,-1190.44
-474.15,-1164.11
-456.33,-1163.51
-459.70,-1060.29
-343.36,-1057.04
-344.05,-1030.98
-901.35,-1024.01
28547.09,4925.03
28012.87,5244.81
28106.74,5446.41
28206.40,5578.48
28248.12,5557.63
28423.09,5821.79
28588.82,5850.75
28796.98,5780.19
28697.30,5613.35
28921.28,5524.09
28837.97,5417.44
28547.09,4925.03
-4847.16,2577.53
-4978.52,2327.31
-4957.48,2315.16
-4981.63,2268.87
-4805.90,2114.59
-4826.31,2088.59
-4296.17,1615.28
-4280.36,1612.82
-4270.00,1620.88
-4043.00,2201.66
-4847.16,2577.53
24104.88,9947.73
23934.30,9821.70
23781.33,9513.10
