X,Y,pop_defacto_2020
13006.23,23483.10,251.91
13206.23,23483.10,173.75
13406.23,23483.10,159.50
13606.23,23483.10,118.23
13806.23,23483.10,100.24
14006.23,23483.10,129.10
14206.23,23483.10,86.81
14406.23,23483.10,75.75
14606.23,23483.10,48.75
14806.23,23483.10,100.71
15006.23,23483.10,102.18
15206.23,23483.10,113.82
15406.23,23483.10,112.38
15606.23,23483.10,111.51
15806.23,23483.10,174.87
16006.23,23483.10,121.40
16206.23,23483.10,127.37
16406.23,23483.10,118.82
16606.23,23483.10,112.05
16806.23,23483.10,37.10
17006.23,23483.10,31.71
17206.23,23483.10,22.83
17406.23,23483.10,24.11
17606.23,23483.10,79.80
17806.23,23483.10,65.63
18006.23,23483.10,70.37
18206.23,23483.10,61.03
18406.23,23483.10,66.28
18606.23,23483.10,29.03
18806.23,23483.10,34.64
19006.23,23483.10,55.41
19206.23,23483.10,56.85
19406.23,23483.10,118.06
19606.23,23483.10,98.47
19806.23,23483.10,110.69
20006.23,23483.10,110.63
20206.23,23483.10,143.56
20406.23,23483.10,67.97
20606.23,23483.10,55.43
20806.23,23483.10,38.80
21006.23,23483.10,39.23
21206.23,23483.10,43.90
21406.23,23483.10,23.24
21606.23,23483.10,22.70
21806.23,23483.10,28.28
22006.23,23483.10,28.13
22206.23,23483.10,51.55
22406.23,23483.10,42.84
22606.23,23483.10,58.24
22806.23,23483.10,73.70
23006.23,23483.10,208.55
23206.23,23483.10,165.14
23406.23,23483.10,144.25
23606.23,23483.10,116.19
23806.23,23483.10,96.94
24006.23,23483.10,151.40
24206.23,23483.10,76.00
24406.23,23483.10,39.19
24606.23,23483.10,44.39
24806.23,23483.10,87.79
25006.23,23483.10,63.01
25206.23,23483.10,67.35
25406.23,23483.10,55.47
25606.23,23483.10,47.52
25806.23,23483.10,46.98
26006.23,23483.10,23.05
26206.23,23483.10,20.23
26406.23,23483.10,21.14
26606.23,23483.10,40.60
26806.23,23483.10,29.28
27006.23,23483.10,33.23
27206.23,23483.10,38.03
27406.23,23483.10,36.99
27606.23,23483.10,54.59
27806.23,23483.10,31.30
28006.23,23483.10,24.84
28206.23,23483.10,24.45
28406.23,23483.10,36.95
28606.23,23483.10,23.10
28806.23,23483.10,19.10
29006.23,23483.10,17.99
