-6299.37,1144.84
-6365.41,1158.83
-6344.95,1279.80
-6251.23,1263.94
-6271.73,1142.73
-6299.37,1144.84
-8211.03,1385.22
-8273.94,1381.78
-8279.89,1439.47
-7930.53,1448.71
-7926.04,1432.90
-7941.43,1342.22
-8211.03,1385.22
-2284.55,6661.58
-2322.63,6564.13
-2342.51,6564.41
-2351.60,6476.23
-2438.01,6465.65
-2451.85,6322.48
-2487.20,6325.76
-2501.67,6163.27
-2540.62,6163.68
-2542.02,6146.84
-2589.31,6171.19
-2551.44,6672.46
-2617.59,6675.35
-2613.38,6767.66
-2587.06,6798.82
-2284.55,6661.58
-2288.90,6701.86
-2292.24,6680.71
-2564.94,6813.61
-2565.95,6834.95
-2391.41,6753.92
-2610.21,6873.55
-2482.92,7107.51
-2151.65,6961.24
-2288.90,6701.86
1910.13,11828.92
1914.60,11787.56
1867.18,11782.83
1863.52,11824.27
1910.13,11828.92
5234.76,23729.45
5235.15,23747.76
5428.30,23734.90
5377.43,23824.08
5344.63,24056.73
5574.72,24156.25
5665.69,23944.05
5641.61,23933.46
5679.88,23840.59
5630.41,23820.62
5650.80,23773.74
5628.91,23764.40
5685.41,23635.77
6261.53,24049.53
6305.05,24020.65
6294.24,23848.73
5820.51,23510.09
5683.74,23583.65
5505.12,23579.02
5511.58,23517.20
5130.42,23499.25
5127.76,23569.01
5078.85,23567.97
5071.26,23740.35
5234.76,23729.45
6339.71,24137.64
6276.56,24110.66
6241.22,24193.55
6315.15,24224.93
6333.11,24182.48
6419.33,24219.69
6426.51,24202.32
6339.71,24137.64
6417.52,24321.37
6222.83,24237.66
6156.78,24384.11
6391.53,24483.63
6417.52,24321.37
-5541.24,-1883.04
-5603.16,-1898.02
-5595.23,-1933.07
-5632.42,-1935.13
-5647.90,-1846.76
-5543.91,-1819.47
-5541.24,-1883.04
-5525.20,-1717.16
-5413.37,-1697.89
-5389.02,-1785.77
-5328.46,-1782.05
-5247.44,-1719.50
-5234.95,-1917.53
-5504.68,-1933.17
-5525.20,-1717.16
1630.28,15155.30
1714.29,15128.66
1694.16,15092.89
1650.70,15089.83
1582.70,15128.79
1592.82,15161.28
1630.28,15155.30
837.01,15706.98
851.16,15757.70
858.60,15593.91
1064.08,15520.40
1019.11,15345.50
754.90,15428.02
837.01,15706.98
1828.44,15514.62
1812.01,15413.61
1333.43,15564.64
1505.03,16125.34
1927.03,15884.85
1828.44,15514.62
1048.26,16200.60
1070.60,16284.00
1209.61,16233.48
1182.39,16150.13
1048.26,16200.60
1814.85,15396.41
1803.03,15305.33
1714.29,15128.66
1019.11,15345.50
1064.08,15520.40
1168.57,15570.95
1218.56,15726.88
1172.33,15854.28
1206.52,15962.57
1181.02,16125.71
1209.61,16233.48
1505.03,16125.34
1333.43,15564.64
1812.01,15413.61
1814.85,15396.41
-4879.53,-1238.94
-4938.31,-1073.70
-4820.78,-1092.62
-4852.52,-1217.34
-4879.53,-1238.94
-4984.86,-1025.66
-5010.75,-1046.37
-5111.75,-1021.28
-5129.72,-965.78
-5090.89,-963.73
-5090.70,-944.59
-5139.82,-936.16
-5035.51,-935.28
-5037.78,-968.19
-5001.40,-974.35
-4967.70,-1018.19
-4984.86,-1025.66
-795.80,-304.16
-846.26,-303.93
-847.84,-248.28
-900.27,-232.40
-899.71,-77.01
-786.11,-115.06
-795.80,-304.16
-4849.93,-15378.05
-4921.15,-15410.24
-5006.45,-15257.46
-4914.59,-15185.92
-4884.69,-15254.56
-4946.25,-15280.07
-4921.72,-15327.22
-4878.93,-15309.42
-4849.93,-15378.05
-793.34,-984.10
-790.04,-899.64
-761.53,-899.18
-761.09,-986.59
-793.34,-984.10
-5504.73,4731.88
-5560.85,4763.32
-5511.93,4860.40
-5476.39,4839.85
-5511.93,4773.78
-5469.73,4753.51
-5440.29,4816.53
-5400.55,4794.17
-5447.55,4701.47
-5504.73,4731.88
-5603.46,4934.79
-5525.74,5008.45
-5165.74,4816.96
-5207.11,4759.19
-5406.62,4869.25
-5442.60,4835.06
-5410.23,4891.98
-5485.52,4932.13
-5516.51,4877.52
-5603.46,4934.79
1245.74,1894.19
1257.74,1997.96
1213.32,2000.81
1210.48,1926.21
776.08,1979.21
732.05,1835.03
630.94,1866.99
743.12,2087.80
946.01,2364.95
1048.64,2285.52
976.36,2181.99
1196.47,2172.78
1173.27,2342.41
1229.82,2339.14
1229.98,2292.77
1338.97,2287.92
1320.96,1886.30
1245.74,1894.19
542.71,1466.29
630.94,1866.99
828.81,1809.05
839.78,1847.20
885.12,1838.22
778.39,1441.55
542.71,1466.29
13459.63,19615.79
13206.34,19364.39
13186.41,19826.67
13688.31,19840.94
13459.63,19615.79
-4862.76,-1055.35
-4856.98,-1017.58
-4888.59,-1012.90
-4894.24,-1070.83
-4943.02,-1063.01
-5031.24,-764.87
-4813.87,-688.29
-4794.01,-861.98
-4832.77,-1060.37
-4862.76,-1055.35
2328.90,-4683.92
2277.45,-4427.26
2472.42,-4383.88
2537.26,-4693.36
2629.55,-4793.19
2952.32,-5024.28
3052.49,-4995.78
3135.81,-5067.29
3173.44,-5123.92
3232.39,-5640.77
3141.97,-5665.08
2734.98,-5127.28
2335.27,-4717.53
2328.90,-4683.92
430.10,-3891.92
455.70,-3896.99
461.01,-3872.15
486.86,-3901.55
554.72,-3813.05
619.23,-3828.82
651.12,-3737.78
834.47,-3796.84
841.79,-3771.29
934.23,-3799.47
953.48,-3731.52
1048.78,-3760.45
1130.08,-3601.39
1306.84,-3655.02
1331.15,-3583.51
1429.86,-3616.58
1355.60,-3858.10
1712.30,-3975.25
1857.91,-3510.69
2203.92,-3646.45
2176.85,-3725.60
2194.75,-3812.96
2346.28,-3780.32
2463.02,-4328.13
2170.60,-4356.35
2113.04,-4442.57
2140.05,-4504.75
2138.61,-4593.77
2117.91,-4610.24
1561.30,-4341.91
574.91,-4023.87
512.79,-3977.63
449.43,-3962.48
442.46,-3991.49
409.03,-3984.08
430.10,-3891.92
-6747.18,584.37
-6759.73,485.25
-6879.51,479.29
-6879.42,596.49
-6747.18,584.37
-6577.28,953.05
-6692.20,956.07
-6659.56,1188.22
-6389.95,1145.80
-6420.48,984.30
-6577.28,953.05
-563.96,143.14
-572.40,83.39
-612.71,89.69
-618.66,53.93
-577.37,48.14
-580.56,25.49
-622.45,31.29
-626.32,7.26
-584.23,-0.46
-597.22,-97.64
-646.82,-91.05
-665.53,-159.46
-771.84,-89.16
-708.72,241.57
-547.15,229.66
-534.41,183.59
-556.86,188.86
-563.96,143.14
-5239.17,-432.78
-5104.50,-612.41
-5125.38,-654.06
-5120.73,-778.12
-5408.95,-708.58
-5431.40,-668.05
-5267.00,-417.38
-5239.17,-432.78
1049.29,-3418.38
1071.39,-3413.75
1090.82,-3460.44
1138.51,-3474.74
1137.49,-3400.35
1178.10,-3392.33
1181.19,-3492.59
1611.56,-3646.28
1640.29,-3548.27
1741.52,-3579.80
1801.22,-3608.60
1792.57,-3715.59
1159.91,-3530.14
1161.94,-3559.26
1126.44,-3560.64
1095.50,-3514.05
1075.73,-3523.61
1063.58,-3500.78
1083.49,-3490.21
1049.29,-3418.38
3715.54,-3807.59
3717.89,-3751.95
3697.67,-3747.31
3740.08,-3684.41
3785.13,-3671.29
3825.31,-3692.87
3862.77,-3784.22
3840.53,-3746.99
3798.42,-3760.03
3797.18,-3809.97
3839.30,-3858.54
3726.44,-3900.47
3715.54,-3807.59
459.66,-3058.41
525.74,-2899.59
620.89,-2939.58
543.19,-3124.03
442.91,-3098.89
459.66,-3058.41
6.65,-2623.87
184.32,-2728.18
457.65,-2845.38
429.53,-2915.41
213.89,-2824.36
147.96,-2980.27
-181.25,-2838.88
-191.54,-2812.48
-112.86,-2585.07
6.65,-2623.87
620.36,-3017.20
653.87,-2942.02
744.62,-2980.90
712.00,-3055.02
620.36,-3017.20
676.23,-3140.17
741.00,-2988.89
1040.30,-3113.67
952.67,-3309.39
731.02,-3214.24
749.71,-3169.71
676.23,-3140.17
1604.72,-3411.43
1723.33,-3467.09
1604.72,-3411.43
727.10,-2785.76
747.38,-2737.24
793.78,-2755.82
784.20,-2785.76
727.10,-2785.76
784.20,-2785.76
807.25,-2722.22
999.96,-2804.75
966.69,-3010.72
683.22,-2889.39
706.89,-2831.83
785.89,-2841.74
784.20,-2785.76
966.69,-3010.72
999.96,-2804.75
1152.75,-2876.40
1141.74,-2955.21
1174.03,-2954.76
1178.51,-2990.61
966.69,-3010.72
1152.75,-2876.40
1300.62,-2941.88
1281.93,-2986.13
1297.76,-3024.20
1246.86,-3051.99
1184.13,-3035.61
1174.03,-2954.76
1141.74,-2955.21
1152.75,-2876.40
1297.76,-3024.20
1281.93,-2986.13
1300.62,-2941.88
1368.18,-2972.20
1297.76,-3024.20
1362.02,-2990.92
1368.18,-2972.20
1473.62,-3015.01
1481.95,-3063.65
1410.71,-3075.36
1362.02,-2990.92
1555.56,-3264.36
1599.38,-3067.39
1625.59,-3078.68
1621.23,-3113.09
1649.12,-3119.17
1638.42,-3267.14
1626.06,-3295.31
1555.56,-3264.36
2002.06,-3460.80
1939.27,-3433.80
1942.82,-3369.30
1971.82,-3354.47
2011.07,-3356.22
2002.06,-3460.80
2078.91,-3494.79
2088.25,-3340.62
2128.14,-3342.14
2143.23,-3519.98
2078.91,-3494.79
2203.92,-3646.45
2237.79,-3661.28
2268.21,-3797.14
2194.75,-3812.96
2176.85,-3725.60
2203.92,-3646.45
-6099.17,1019.25
-6020.64,1025.91
-6029.06,1009.81
-6276.93,987.23
-6261.03,1125.69
-6089.92,1089.88
-6126.07,1088.31
-6129.83,1065.78
-6152.88,1070.18
-6148.87,1093.05
-6245.34,1114.06
-6241.17,1004.33
-6188.60,1022.58
-6187.16,1064.18
-6145.12,1061.53
-6146.23,1015.15
-6099.17,1019.25
-7563.03,358.89
-7497.65,391.13
-7471.06,379.42
-7373.35,223.41
-7206.32,45.22
-7277.31,-20.89
-7452.77,161.66
-7572.12,336.67
-7563.03,358.89
-7114.98,-181.83
-7034.04,-48.29
-6749.04,-157.76
-6810.14,-322.72
-7011.05,-246.96
-7114.98,-181.83
-5579.42,1318.79
-5572.11,1345.97
-5491.61,1320.30
-5494.59,1304.02
-5579.42,1318.79
-4712.37,353.54
-4670.96,650.94
-4584.86,620.75
-4619.34,352.34
-4657.81,278.88
-4723.79,286.51
-4712.37,353.54
-7125.29,1710.63
-7293.43,1884.78
-7197.26,1958.91
-7268.12,2050.48
-6983.02,2284.04
-6945.25,2287.69
-6704.86,2117.18
-6879.76,1951.40
-7018.00,2118.70
-7183.00,1989.67
-7042.54,1828.48
-6978.25,1856.15
-7071.72,1725.18
-7125.29,1710.63
-5072.42,-1612.98
-5091.28,-1535.47
-5005.54,-1462.00
-4988.65,-1589.62
-5072.42,-1612.98
-5121.02,-1386.66
-5128.66,-1357.72
-5020.76,-1357.49
-5005.54,-1462.00
-5078.75,-1488.71
-5121.02,-1386.66
-18149.90,234.99
-18128.44,358.85
-18092.89,352.97
-18117.13,228.94
-18149.90,234.99
1879.33,2051.62
1864.41,2095.21
1822.41,2093.04
1808.91,2131.66
1842.87,2158.53
1816.89,2234.01
2877.82,2597.47
2958.81,2352.03
2919.12,2245.49
2263.76,2050.63
1974.25,2087.56
1879.33,2051.62
123.85,-886.39
169.87,-895.79
180.17,-813.34
140.42,-805.23
123.85,-886.39
159.47,-700.37
148.04,-731.16
172.47,-750.92
175.22,-730.38
249.46,-735.27
251.36,-706.40
159.47,-700.37
756.84,-1148.04
748.39,-1184.09
784.04,-1207.59
828.70,-1143.50
756.84,-1148.04
8370.51,-9537.46
8328.67,-9950.21
8192.32,-9933.48
8215.96,-9590.42
